message;text
personal;My opening remarks at today's @FinancialCmte hearing on @CFPB's consumer data collection: http://t.co/YLUrIrrOqj
policy;"Shutting down power plants and giving an advantage to politically connected â€˜green energyâ€™ companies isn't a ""fair"" plan."
media;I'll be on @FoxNewsSunday with Chris Wallace this morning. Tune in!
information;Attention #NV03 - I'm hosting a job fair/career skills workshop Oct 7. All employers LOOKING TO HIRE. Visit http://t.co/l6Xkd3ZcWQ for info
support;Great roundtable on #gunviolence in #RI today. Mayors, Mothers, Police all came together to discuss solutions w/us: http://t.co/VOHnkoU7km
personal;May the peace of Christ be with you and your family this Easter Sunday. http://t.co/SdqPkZ6Nso
support;LIVE: Letâ€™s leave our kids with the America our parents gave us--one in which everyone has the opportunity to succeed http://t.co/sQAr4wjWCz
personal;Learning about the tools of the trade! http://t.co/osggVfWEy9
policy;"Once again, I'm cosponsoring a real #NoBudgetNoPay, one that actually encourages House &amp; Senate to do its job.  http://t.co/LZq4bbvf"
support;"Thoughts &amp; prayers 4 families in #Oklahoma affected by tornadoes. May they be blessed with strength &amp; courage in face of this tragedy #netde"
personal;It is now up to Harry Reid and the President to accept a responsible compromise to keep the government open. http://t.co/RcT8macV76 #AZ05
media;My column in today's @theobserver on the opportunity presented by the interim nuclear agreement with Iran. #ncpol http://t.co/yZtaoiUBpy
other;.@RepDuckworth blasts witness for claiming veterans disability to gain gov't contracts http://t.co/D4NeAA8poa #IRS
personal;"Enjoyed meeting kids @ Hidden Village Boys &amp; Girls Club &amp; discussing summer meals program with @FoodLifeline staff. http://t.co/hufMRHKodH"
personal;Honored to receive a public service citiation from our @SECNAV Ray Mabus: http://t.co/zMZSfI7d http://t.co/gppmJy86
support;Big home wins today for my @KState Wildcats and @KUHoops!!
support;Arlington Eagles win state fastpitch championship #oftheworld! Great job, Eagles. @northsnohomish @HeraldNetSports
policy;Submit your questions for Rep. Wolf using the hashtag #cspanwj or @cspanwj, or call in: 202-585-3881 (Republicans), 202-585-3880 (Democrats)
attack;#ObamaCare is more unpopular than ever. Read why: http://t.co/JkHuAkfkLv #LA03
media;Joining MSNBC this morning at 9:10 Central. Hope you'll tune in.
policy;"With bipartisan work &amp; cooperation, we passed a bill that will #FixFlood insurance rates for folks all across ND http://t.co/S6vaaQfCTS"
policy;Kellogg woman and her husband farm. Concerned about not qualifying for disaster assistance when their grass suffered drought. #KlineTTH
policy;#ObamaCare: Working the way it's supposed to? http://t.co/x0uq3oV4Lb #TrainWreck
personal;Congrats to #Berkeleyâ€™s @AliceWaters on being named one of @TIME Magazineâ€™s 100 Most Influential People! #TIME100
support;"Even conservative icons Ronald Reagan &amp; Justice Scalia have recognized the need for commonsense protections from gun violence #NowIsTheTime"
personal;Good Morning #tx25! Looking forward to a busy day ahead. Today, the House will continue debate of Homeland Appropriations.
support;Great work to all the firefighters and officials working on the four fires in the Monzano and Gallinas Mountains.
personal;Enjoyed the opportunity to visit with @uinations students yesterday. Glad they got to see a committee hearing. #idpol http://t.co/qyFzXHmliR
support;@infarmbureau Thank you!
support;Murray: That sacrifice should not have to come in the form of unwanted sexual contact from within the ranks. #CombatMSA
information;Reminder from @SDCaltrans - portions of southbound I-15 in north county will be closed Sat. eve - Mon am. http://t.co/4EEunBU6gF
personal;Very sorry to hear of the passing of Sen. Howard Baker, who devoted his life to serving his country. (1/2)
personal;Thx! Happy Thanksgiving! MT .@BarbRhondi: @RepDonaldPayne This #Thanksgiving I am #grateful4gunsense you've shown. Thx! #MomsDemandAction
support;@RepBeatty is fighting to pass the Paycheck Fairness Act because equal pay deserves equal work!  #HappyEqualPayDay! http://t.co/jto96gUQJp
media;Ask a question in my online townhall @CrowdHall and vote on your favorites! http://t.co/xGQnFWzxnW #ar2 #arkansas #tcot #CutWaste #sequester
attack;Senate Dems are now pledging to finally â€“ finally â€“ produce a #budget. Iâ€™ll be interested to see what they put forward.
personal;Every day there is a new drawing on my DC exec assistant's door. Going to start sharing a few. http://t.co/u708zTDkTm
support;Very wise words from my friend @RepMcClintock this am http://t.co/DGw1IIS0JA #BorderCrisis
attack;Tonight President Obama left Americans with a case of deja vu, delivering a speech filled with recycled promises... http://t.co/n8swoQVmGc
support;I'm proud to see #VAWA passed the House today http://t.co/M2EFnYZjfs
policy;"H/T for ur leadership onÂ #KeystoneXL- MT @LEETERRYNE: landowner telling me &amp;Â @RepFredUptonÂ he's pleased w/building a pipeline in his land."
attack;@migrainediva @SpeakerBoehner @PresenteOrg You are passing on a lie
policy;@banuaba That is how lies get circulated. I blame terrorists for all innocent deaths that happen when they attack or when others retaliate
personal;Thank you, @SteveScalise!
information;"On Tues, the @FinancialCmte will hear from #FHFA Dir. DeMarco on his agency's conservatorship of @FannieMae &amp; @FreddieMac.Tune in @10 am"
policy;"Chaired @SenateBanking hearing 2day on impact default would have on financial stability &amp; economic growth. Watch here:http://t.co/Ggh7wfS14k"
policy;"A story shared by millions of Americans - http://t.co/LYHEHtOJA8. Let's stand for the 2.8mill in need &amp; #RenewUI now http://t.co/e2KryK1qjN"
policy;The US has tripled its defense spending since 1997 and spends more on defense than the rest of the world combined. #budget
policy;"In 2014 we worked to stop nuclear #Iran, confront #ISIS &amp; support #Israel. #YearInReview2014: http://t.co/okAeKkhQ9z https://t.co/mALyyyzHtm"
support;"American history is marked by great moments, &amp; the dream of Dr. Martin Luther King Jr. is on full display today... http://t.co/AhUUNwud #ar2"
support;Thanks for standing w/ me to preserve #MedicareAdvantage choice for seniors. We're 108 strong! #FF @RepJimMatheson @BuckMcKeon @RepMcKinley
personal;PHOTO: @GreggHarper, @RepFredUpton, @RepMarthaRoby, @SusanWBrooks after recording the weekly #GOP address http://t.co/Ls6ax7Aknk
support;"Thrilled to introduce #FamilyAct with @SenGillibrand. Good for both families &amp; businesses. http://t.co/48moCcxZzO"
personal;Thank you so much for your kind words of support! MT @TrishLaird @RepDeSantis Congratulations on the passage of your first bill!
support;Stopped by #SCOTUS earlier to show my support for Hobby Lobby #ReligiousLiberty http://t.co/p4SAnjRDAE
policy;The Original Chickenhawk. http://t.co/gqThSecLxB
support;Frank will be speaking in Washington today at the Smithsonian. Wishing him luck!
personal;@BillClinton in #NewHaven. Note the only non coffee drinker in this group. http://t.co/MX9kkLku7t
personal;"Thoughts&amp;prayers w/the family of Sen Lautenberg today, the last WWII veteran in the Senate. Thank you for your service to our nation Senator"
personal;An update on fight to protect religious freedom in military on Tony Perkins radio show today at 5:35 ET http://t.co/iW6uo1svXG
policy;Working with @AGSchneiderman to ensure schools are safe haven for students to learn and grow, not a place of hatred and persecution
policy;"MM: ""I will not stand idly by while this admnistration &amp; this EPA try to wipe out the lifeblood of my home State."" http://t.co/PTQMtEmVoe"
constituency;Giving a Congressional Update and answered residents' questions at Chateau Girardeau this morning in Cape. http://t.co/ZcVRz7wh7R
personal;Hey @MumfordAndSons, @CityofOttumwa Canâ€™t Wait for You! Great to see the community come together for this video. http://t.co/Aumcw8lWgn
policy;The U.S. is on an unsustainable fiscal path. Listening to a report from CBO at the first @SenateBudget Committee meeting of this Congress.
personal;It was a pleasure to join the @AIPAC Miami club for their gala this evening http://t.co/cAXw9ACeQw
attack;57% of Americans don't trust #Obamacare with their personal data #SenateMustAct
information;RT @HeraldNews See photos from the â€˜Run With Coryâ€™ event held July 5 in #CapeMay @CoryBooker http://t.co/nzPlRfAN5A â€_ http://t.co/0eUobswh2l
constituency;RT @robrobinson: Way to go, Nashville! :) Via @USATODAY: Best urban green spaces in North America http://t.co/tbvxiJWnb2
personal;Good morning, everyone! Busy week ahead as the House will be back in session. Stay up to date with my eNewsletter: http://t.co/pq34XyjWOY
policy;@Morrow_Brett Ha! Ur the man! U text one night bout #hiphop hug on floor right?
personal;"Renee &amp; I enjoyed hosting #NC08 Womenâ€™s Symposium Friday. Check out this article highlighting the event @IndyTribune: http://t.co/cNGLnZ1VTc"
policy;You shouldn't have to choose between work and family. It's #YourTime. #MakingLifeWork http://t.co/VdQTw9JloB
information;McConnell Testifies in Defense of the First Amendmentâ€™s Free Speech Protections http://t.co/bSZ3M8xZct
constituency;.@ArFishinhole With Ms. Sutterfield's AP Government class! #ar2 @ConwaySchools http://t.co/28z6aclfZs
constituency;RT @WKBW Ohio Street Project Moves Forward http://t.co/T3vcwG8jZg
personal;Speaking this morning to the New Mexico Association of Counties http://t.co/KrGebZe8RI
information;ICYMI: My #CongresstoKS town hall a few weeks ago in #Sabetha http://t.co/r64eL0I6
personal;Discussed a # of issues at the Veterans Roundtable I hosted this morning including ed, jobs for vets, and the VA. http://t.co/KhTMIQPYTV
personal;Coffee at Barnes and Noble in Bismarck http://t.co/AzUeQy2p3J
support;Instead of lurching from one manufactured crisis to the next, it's time for Congress to focus on creating jobs! http://t.co/4C03y16gY3
support;Joined @senblumenthal at powerful gun violence prevention vigil in Stamford. Thank you Interfaith Council. http://t.co/kpj7BeQmZL
policy;.@KYSTATEFOP McConnell Pushes Bill to Create â€œBlue Alertâ€ù to Help Catch Suspects Who Attack Law Enforcement Officers http://t.co/Z1knWQoglt
support;News: Glad @Interior is releasing $475mil for #SandyRecovery: http://t.co/SKoQYOX4xH. As we near summer tourist season, we cont'd to rebuild
personal;Our staff will hold Local Office Hrs in Lunenburg on Fri, Dec 13 to meet w/constituents who need help w/fed agencies: http://t.co/9RWdYvxb0f
information;Proof that strong #auto = strong middle class 47,000 @Ford workers will receive avg of $8.8K each in shared profit after $8B profit in 2013
information;New @USDOL #CareerOneStop website will connect #Vets to employers http://t.co/btil03TYqW
information;Illegal immigrants already being released to neighborhood near you http://t.co/mZ3R7MEYZ9 via @Watchdogorg
policy;We have a lot of wishes on our list and a very important one is Keystone XL. #TimeToBuild http://t.co/5dR9dj7F9H
support;I met with National Field Archery Association President Bruce Cull and enjoyed touring the facility today in Yankton. http://t.co/RkFcKtpPw1
mobilization;Next wk @BarackObama give 6th #SOTU. I want to know what you think. Tweet me your ?s using #NC09SOTU http://t.co/5a4KFgusRJ
personal;Read more about my Verified and Legitimate ID (VALID) Act here: http://t.co/QNg5hRMUTN (2/2)
policy;Truly honored to talk with @AmericanLegion vets abt how we can ensure our #vets get support + benefits they deserve. http://t.co/Fk2eEg4gnz
policy;"En route to the @WhiteHouse to meet w/ the President &amp; @Senate_GOPs. I'm hopeful discussions like these will bring this stalemate to an end."
policy;#Obamacare vexing small businesses, courtesy of @PittsburghPG http://t.co/QYZRShdZqg #TrainWreck
information;Today in 1870, Hiram Revels became the first African American to serve in the U.S. Senate #BHM
support;"Approving #KeystoneXL ""won't cost taxpayers a dime."" Read excellent @WSJ editorial on importance of pipeline http://t.co/f2Daagz2wK"
media;ICYMI @RepJeffDenham announces heâ€™ll be first R to sign onto HR15! Watch the interview http://t.co/ehCXaTXiLd #ActOnReform #CIR #TimeIsNow
mobilization;As a cancer survivor I believe we must ensure patient access to quality cancer treatment by reimbursing providers equally in all settings.
personal;"Here's to hoping Clemson Tigers can show as much ""Get after it"" today vs NCState! Go Tigers! #Clemson #tigerfootball #bloodrunnethOrange"
information;Today marks 50th anniversary of MLKâ€™s â€œI have a Dream.â€ù MLK visited Sioux Falls in '61. His interview w/ @keloland: http://t.co/jSKmhsT4MI
attack;"Chairman @DarrellIssaâ€™s decision to silence a fellow Member of Congress was outrageous &amp; disrespectful...not how the House should be run."
personal;RT @RepHartzler: Beautiful U.S. Capitol Christmas tree this year!  May this Season bring good tidings to all. http://t.co/iTn1Sa7yox
policy;Iâ€™ve fought devastating defense cuts for 2 years b/c they threaten to put tens of thousands of soldiers out of work:http://t.co/IVO1qW1sdZ
information;"Great news for manufacturing &amp; job creation in the Quad-Cities! http://t.co/OIkkHkHkl8 #MakeItInAmerica"
information;Had great conversation with administrators at the John Paul Scroggins Conference Center in Valliant. http://t.co/neQnM2VisF
policy;2. The #CHOICEAct puts education back in the hands of parents, and away from DC bureaucrats. #SchoolChoice #OpportunityAgenda
policy;It's always worth it when you stand behind the American people: http://t.co/BmPB3gQeTA #CRomnibus
personal;VIDEO ASK PETER: Folks back home are having serious problems w #ACA website. Learn how to protect yourself here: http://t.co/pkurRWxXAz
policy;"As cosponsor of #HR36, glad House is forming select committee to investigate #Benghazi, Admin's response &amp; seek justice for victims #pjnet"
personal;Today at 2pm @davidcicilline will discuss human rights in Nigeria during @HFACDemocrats hearing http://t.co/zaxhAJVwi1
policy;Good intentions don't justify violating rights secured by the Constitution. That's WHY we have a Constitution.
support;Thanks to @RepMikeRogers for cosponsoring HR 2809. #DelayDefund
support;Revenue sharing is critical and my House-passed bill is waiting for action: http://t.co/lmcD1vnzkl #LASEN
support;"#PresidentObama is right. Superstom #Sandy &amp; extreme weather events are not a freak coincidence &amp; we must do more to combat #ClimateChange"
attack;"When will Wash start work to control spending? Deal failed 2 do so&amp; President made clear he wants more tax increases. Yet prob is spending"
support;Had a great telephone townhall with constituents of #OH15 last night. Thank you to all those who participated! http://t.co/0ceqSOmiNv
attack;This is significant: http://t.co/4n2pk40BvC
support;Johanns, Fischer Introduce Legislation to Create Commemorative Boys Town Coins: http://t.co/zfg2RZo8xu
policy;Stop Harming Our Kids #SHOK resolution urges states to end harmful and discredited sexual orientation change efforts http://t.co/W7ykl79BJS
support;Yesterday, @ElaineNekritz and I held a roundtable on #SNAP and #hunger. Great to hear from our community about their needs. #AWP2013...
policy;for the sole purpose of fatiguing them into compliance with his measures. #IndependenceDay
policy;RT @MeganMitchell: .@johncornyn to @PressSec Not only is this legislation necessary itâ€™s the moral obligation of this nation
policy;"Talking with agricultural leaders at @AmericanRoyal in #KC abt the need to repeal the death tax &amp; protect food safety."
support;Spkr Boehner should join Dems to put #middleclassfirst, not waste tax dollars on #GOPLawsuit. http://t.co/hIiyrJRPSQ http://t.co/I8ecfWZJ8v
personal;My prayers are w/ families of 4 innocent Israelis - incl. 3 American citizens - murdered by terrorists today in Jerusalem. #StandWithIsrael
policy;On Senate floor: these #sugar reforms save taxpayers money - CBO estimates that reforms would save $82 million over the next 10 years
policy;ICYMI: Be sure to check out the op-ed piece in today's Star Ledger that I co-authored with David J. Brown,... http://t.co/sEpECAJjqJ
media;Looking fwd to our conversation this morning on @ThisWeekABC. #SanAntonio tune in to @ksatnews at 9 am CST http://t.co/7ouxnhFyp3
policy;RT @PRyan: We have an opportunity to pay down the debt and boost the economy. Let's start talking. http://t.co/OtG8f0mzOZ
policy;The House will vote on the Senateâ€™s version of the Violence Against Women Act. I support that version and am looking forward to its passage.
support;"Getting my ""Bubba Watson"" on this AM @WaffleHouse w/Cheese n Eggs, bacon, coffee &amp; hashbrowns! http://t.co/fTsQkHNyJE"
personal;During the #BAmericaFPI trip, we visited the 9/11 memorial to remember all those who were lost on that tragic day. http://t.co/jOfozSR4RX
constituency;I'll get to confront the Treasury Secretary on #POTUS's unrealistic 2015 budget in a hearing tomorrow. Americans deserve better.
policy;"Sent another letter to the administration 2 protect Medicare Advantage plans &amp; keep them affordable for #AZ09 seniors http://t.co/zi3iqjc8NB"
personal;Congratulations to @youngstownstate baseball for winning Horizon League and a bid to the NCAA tournament http://t.co/MqSDSviLBy
attack;@NewsConnoisseur Sorry that u think I'm losing my credibility or effectiveness. Thanks for your sense of urgency on this issue. All the best
policy;"@BarackObama ""These cuts are not smart, they are not fair ...people will lose their jobs."" #StopTheSequester"
attack;#DontDoubleMyRate RT @aldotcom: Martha Roby to Senate: Rise above the politics and address student loan rates. http://t.co/cfESE3RMy8
support;Happy Birthday to @WaysandMeansGOP Chairman @RepDaveCamp! And don't forget to follow @simplertaxes for the latest on #taxreform
policy;President's healthcare program: 100,000 enrollees through http://t.co/q8Euo1bedf, millions of policies cancelled. Is this progress?
attack;Pres Obama just announced he's cancelling his trip to Asia so he can continue lecturing Republicans and refusing to negotiate. #notleading
information;This wk's #MondayReport: What a budget deal means for Congress, a #FarmBill update, stopping bullying w Peter Yarrow: http://t.co/mmyjH8xfFi
attack;Federal cuts to housing programs are putting New Jerseyans out on the streets. Congress must reverse the sequester. http://t.co/UaZHhUOOgN
information;Work in progress @27SOW_CANNONAFB in #Clovis. Proud to secure funding through @SenateApprops for new housing on base http://t.co/aUw3g3529g
personal;"New season of @DuckDynastyAE starts tonight. Preview w/ @williebosshog &amp; @Siduckdynasty http://t.co/rxWFeul8l7 #duckdynasty"
policy;#ICYMI: @HuffingtonPost on how the loss of UI benefits is devastating families across the country. #RenewUI #p2 http://t.co/NxKnixZiRP
personal;Thanks to everyone who came out to my Coffee and Conversation at El Dorado Park in @LongBeachCity over the weekend. http://t.co/FJn9WwyiQC
constituency;Glad @CharlieCrist has options since Nov will be tough. He can serve the people at @AmericanAir Admiral's Club too. http://t.co/oyjAbzJsL5
support;Proud to receive @HDMAconnect's Bull Dog Award for my commitment to keeping our RX supply chain safe from counterfeit http://t.co/u9FSH4dlOt
information;Want to know what to expect at my 7th Annual #Veterans Resource Fair on Saturday? Tune into @970wfla #AMTampaBay at 8:50AM tomorrow.
support;Vilonia Fire Dept will receive funds to purchase new equipment for firefighters, helping protect those who protect us http://t.co/h8d15SPr66
media;"@jstj88 @FWD_us definitely! Top priority for this office &amp; proud to join w/ Illinois members to bring CIR advocates to #SOTU tonight"
information;Peteâ€™s #Jobs and #Opportunity Fair is set for 10/21 in Mich. City on 10/21. Visit http://t.co/I4DyiwxfuW for more. http://t.co/Y8DOHZmaB6
mobilization;"October is Domestic Violence Awareness Month &amp; a time 2 recognize the epidemic of domestic violence &amp; renew our promise 2 protect all women."
support;Going on the Floor to argue for HR 253 my Y Mountain Access Enhancement Act
media;Immediately after #VAWA vote, I'll b speaking on House floor about need 2 prevent sequester cuts. Tune into @cspan http://t.co/SWns5lCycg
support;"RT @HouseDemocrats How would #immigration reform affect you? Watch: http://t.co/CiNfTBI81q  (VIDEO) &amp; RT if you support #CIR."
personal;I hate to miss any vote, let alone important votes like we had today. But I was where I needed to be. http://t.co/CWThBPElwb
information;RT @RepublicanStudy: Day 2 of the Twitter Town Hall is LIVE.  Weigh in on the #IRS and #Obamacare by using the hashtag #AskRSC today from 1â€_
support;Thanks, @repdavidscott, for supporting HR 4351, the Alzheimerâ€™s Accountability Act. Together we're making it a top priority! #ENDALZ
policy;As a small business owner for 20+ years, I know how important local businesses are to our community. Support one this week! #SBW2013
support;RT if you agree that hardworking students shouldn't  be penalized for working hard to afford college! http://t.co/pbMKjCHN91
other;Release of Taliban Detainees Alarms Afghan Villagers http://t.co/5Hs8aZNlvR #Bergdahl #PJnet
policy;"Today, I'll be voting for the @RepMikeQuigley &amp; @JaredPolis amendment that cuts a billion dollar bomb we don't need http://t.co/gcqSGMD2p4"
media;Tune in at 11am: Senator Blumenthal will be on @newsnation with @tamronhall to talk about the VA.
policy;Indexing the minimum wage to inflation would help lower-income workers keep up in the future. #OpportunityForAll
attack;"@pandorumizator Obama &amp; his policies not only threat 2 well being of Am people, but is worst. Many other challenges, like crony capitalism."
information;"Our staff will hold office hrs in Cumberland, Nelson &amp; Bedford tmrw to meet w/those who need help w/federal agencies http://t.co/qiyYfj1JQD"
attack;President Obamaâ€™s Rhetoric vs. Reality on VA Accountability http://t.co/IdefekhHKg
policy;#Gruber visited the White House 21 times.  That's 17 more times than Obama met with his Jobs Council.
information;Kroger, Macy's Face Boycott Call After Opposing Texas Equal Pay Bill http://t.co/hieYbHqnXw via @HuffPostPol
information;ICYMI: Smith to Seek Subpoena for Information on White House Role in Security of http://t.co/8lYcaieTZY http://t.co/pgWrJP73bF
policy;13 days until #sequestration kicks in, and @SpeakerBoehner is sending the House home. The House should be in session until this is fixed.
personal;Welcome home to #CNYâ€™s Olympian @erinhamlin. This community is so proud of you for winning the bronze. #TeamUSA #NY22 http://t.co/pubG5mVaoH
personal;A new study out today confirms what we all know is true: @UMich fans are the greatest. #GoBlue http://t.co/xKboD7lQN7
information;Sequestration = $15.5 million cut from medical research in #OR. #STOPtheSequester http://t.co/07Gb44wUoq
attack;For those covering Pres Obamaâ€™s MO speech today, here are my floor remarks on his latest #jobs #pivot http://t.co/VvNhe1LhEW
personal;The #IRS's gross abuse of power would have our founding fathers rolling in their graves http://t.co/yZJCAXjpsg
media;At American Legion Post 41 in Whitefield for dedication of M-60 battle tankâ€“ part of US military history that has served our veterans well.
policy;More than 50 million seniors and people with disabilities are covered under #Medicare.   Medicare works â€“ happy 49th anniversary.
policy;Consumer Financial Protection Bureau continues efforts to secretly collect your private financial data. http://t.co/DIX7BfJyQz @dcexaminer
media;"Good morning! Tune in during the 6am hour today to @KHONnews to hear from Rep. Gabbard on ISIS &amp; more: http://t.co/y78T1ZJcXr"
policy;Itâ€™s time to kick surveillance reform into overdrive. #NSA programs needs 3 things: accountability, transparency, and tighter limitations.
attack;The House passed HR 4031. We are holding the #VeteransAdministration responsible http://t.co/BGphF6dH8F
policy;"Met w/@usgao re: #Arctic policy. US has enviro, economic &amp; natl sec interests in region &amp; must prioritize them better http://t.co/JZNt4kXike"
personal;RT @MonteFrank1: Our hearts ache.  Our thoughts and prayers from Sandy Hook to DC.  Tomorrow we get back to work to end this madness. Headiâ€_
policy;Pretty much says it all... http://t.co/uyzvuTF9Yy
personal;Preserving and beautifying open space is so important. Thanks to all who made today's ribbon cutting possible at Charlestown's Pawaget Park!
attack;RT @jameshohmann: NRSC chairman Jerry Moran is a NO vote on any Syria resolution.
personal;#IRS bothers him RT @gretawire: Bill the cat...nothing bothers him http://t.co/fpq6ObQ33c
support;Good news for the economy as consumer confidence hits highest level in almost seven years @USAToday  http://t.co/WV8nAHjq21
personal;.@davidgregory I hope so. It's obviously critical to our nation right now. There are two pieces -- policy and funding. #TweetThePress
support;Had great meeting with Gen. Lynn Collyer, commanding general of US Army Aviation and Missile Command (AMCOM) today. http://t.co/s3VxlPyWOP
support;Congrats to new @MiamiHerald publisher Alex Villoch, the first woman to hold the job! I know she may be first but won't be the only one!
policy;Radio intrvw w WOAI: it is unconscionable that we would take pay from millions of Americans. http://t.co/ZnVSnkrrn3
policy;RT @ReutersPolitics: Lawmakers, LGBT groups urge U.S. trade action on Brunei criminal laws http://t.co/NYmBJY5uvi
support;Passing a serious employment agenda like the American Jobs Act would create up to 2 million jobs http://t.co/GE2jijDDrN
information;RT @Reuters: Pentagon recalling many civilian defense employees idled by shutdown http://t.co/4ScvCKmc05
support;Recording a message to our troops overseas wishing them a #HappyHolidays. Thank you so much for your service. http://t.co/1g0ysJcDBQ
information;100+ employers will be at my upcoming Sixth District Job Fair on July 21 at Harper College. RSVP here: http://t.co/4kaduwmoHS
media;TUNE IN: I'm speaking NOW on the floor. http://t.co/dPimjI88
support;All sides are pushing for Obama to make a decision on the Keystone XL pipeline. http://t.co/hpFO19N8t2
personal;Thanks to all who came out to the #AAPI Heritage Month Celebration I hosted w/@CMKoslowitz tonight in #RegoPark. http://t.co/xB6XOuWCCE
policy;"""Let me be clear, federal workers did not cause this shutdown and should not lose pay because of it."" -@brianschatz"
media;NEW: Congress At Your Corner this Saturday at Franklin Library. Hope to see you! Details: http://t.co/mjqILqvUC1 http://t.co/nJc51s3X6G
support;Weâ€™re still recovering from the greatest recession since the Great Depression. We must #RenewUI. http://t.co/wp2P0CXL9s
media;RT @KevinBuist: Politics in 2013: @repjustinamash debates someone named @Deathsquadgr420 on twitter.
constituency;Grateful for a few minutes with the Nashville Economic Club chatting about debt, Obamacare, and fiscal issues. http://t.co/JA4fX2L37s
personal;@realcmnicholson, Will do!  Thank you for your hard work. Your hard work feeds the world and without you, people would go hungry.
information;Rewind 1999-The early days of Gear Up Program becoming law @edpartnerships Capitol Hill's odd couple http://t.co/v0VMnMnuqO via @Salon
constituency;Thrilled to be at groundbreaking for I-94 expansion, which will increase mobility, safety, and jobs in Minnesota. http://t.co/rcyyYG6LEb
personal;Wishing #MO native and @NASA Astronaut @AstroIllini the best of luck on his mission. https://t.co/OmfbJLL5SF
constituency;"A delicious  #MadeInWi story  - ""Wyttenbachs take meat from family farm to family table"" http://t.co/kkKGmSArQa"
personal;I had a great time visiting Napa Valley Language Academy earlier this week! http://t.co/ZTLmWRZDPg
constituency;Our #CongressOnYourCorner coupons tell you how we can help! At @cityofhayward today talking to those we serve. http://t.co/v5lMJO2zOL
personal;"So proud to honor @DocHastings, my dear friend &amp; colleague for his tireless commitment to the people of Central WA.  http://t.co/o1qBW4K6i5"
personal;"This week, my #Facebook page got its 9,000th ""like"". Have you liked me on Facebook yet? https://t.co/hYy6Tuk7nZ"
personal;Had a wonderful meeting with @SenatorCardin this afternoon.
personal;Thanks for organizing this diaper drive, @Steph_DeSilva! I would love to participate and support the @RIFoodBank
other;@kacoppola Good to see you.
personal;Happy #Juneteenth! I'm celebrating by attending the dedication of the Frederick Douglass statue in the U.S. Capitol. http://t.co/ELMkjZMmCj
constituency;"Excited to welcome @SecretaryFoxx to #IL17 today to talk about replacing the I-74 Bridge &amp; the need to invest in infrastructure"
information;"Humbled to lay wreath at CenTex State Veterans Cemetery to honor Fort Hood men &amp; women killed in Iraq &amp; Afghanistan http://t.co/wJAc8EsT4P"
other;RT @sahilkapur: Medicare trust fund now projected to exhaust assets in 2026, two years later than last year's mark http://t.co/U2sP9mfOc6
support;I encourage my friends in the 6th District to head down KY State BBQ Festival in Danville benefitting the United Way http://t.co/XjjMvJsKFR
personal;"Joined @MartinCountygov to again discuss &amp; view firsthand the damage to our river. http://t.co/qw3sha3H8J"
information;Shared your stories about the realities of #Obamacare in #AR3 on the House Floor today. Here's the video: http://t.co/sOFpWhIDC9
policy;Never forget. Thanks to those who go into harm's way to protect the greatest country in the world. God bless America! http://t.co/07JFyn7Fuu
attack;Nebraskaâ€™s approval of new #KXL route means itâ€™s decision time for POTUS http://t.co/S4D9AsrP He should find a way to say yes #4jobs
personal;@nikkibama hate is a strong word but thanks for at least liking #FridayKitty
other;RT: @PeterRoskam There are about 37 million student loan borrows that are past due on their loan payments #DontDoubleMyRate
policy;"My colleagues &amp; I sent a strong message that people accessing our courthouses should be safe from intimidation &amp; fear http://t.co/UJsETAttgc"
policy;#FF to my colleagues joining me to push for #NSA reform: @RonWyden @SenatorLeahy @SenRandPaul @SenBlumenthal @MartinHeinrich #EndThisDragnet
media;"Video: Discussing the ""No Budget, No Pay Act"" at the Anderson Rotary Club. http://t.co/sZl2fNuHE8"
policy;Why focus on biomedical research? Here are three reasons
information;"The #DATAAct was signed into law yesterday, &amp; will transform gov transparency by shedding light on runaway spending: http://t.co/c7armaHUYY"
support;~270,000 #veterans are waiting for the #House to #RenewUI. They along w/ +2MIL Americans deserve for this to be brought up in the House.
personal;RT @mlivedetroit: GM Design Team Auto Show delivers a mix of modern, classic beauties http://t.co/gbrcrqAVZJ #dreamcruise
policy;Check out my op/ed in the @BurlcoTimes that addresses the huge challenges facing the @DeptVetAffairs http://t.co/MuCbf9oICb
constituency;With Alex Greenwood from the City of #Brentwood at an International Trade Event this afternoon http://t.co/AGtn7uVfF0
policy;"Wrong! Didn't say this! @seungminkim: MT @andiezd: .@RosLehtinen: ""Cantor has lost.It pains me 2say this but immigration is officially dead"""
information;"New therapy slashes breast cancer rates 50%; results unveiled in San Antonio symposium http://t.co/3Xq97yjRYw via @houstonchron"
support;Appreciate those who joined me for the town hall at Rocky and Carlo's this morning. #LA01 http://t.co/q9pDqhrpmk
policy;#ar2 MT @SpeakerBoehner: There are important questions Pres. Obama must answer if considering intervention in #Syria http://t.co/5PsY5iLycX
personal;"""It canâ€™t happen soon enough."" - @TheEllenShow  #BringBackOurGirls #JoinRepWilson"
attack;"""Obamaâ€™s extreme use of executive discretion"" @georgefwill in @washingtonpost: http://t.co/lBn4bOrrxp"
support;Interested in having a flag flown over the U.S. Capitol? One can be purchased through our office. Learn more here: http://t.co/fXK8TNwuEC
support;Thx 4 your ??s! @federalreserve Chair #Yellen's inaugural @FinancialCmte appearance  #MyView #DayInTheLife http://t.co/M1YodJ4QVX
